procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 564892 589456  92852 4059516   1    5    53    10    0  192  1  1 97  0
 0  0 564892 589296  92860 4059504   0    0     0   124    0  887  1  1 98  0
 0  0 564892 589288  92860 4059512   0    0     0     0    0  681  0  1 99  0
 0  0 564892 587676  92860 4059512   0    0     0     0    0 1469  2  2 96  0
 0  0 564892 587428  92860 4059512   0    0     0     0    0  872  0  1 98  0
 0  0 564892 587412  92860 4059512   0    0     0     0    0 1021  0  1 98  0
 1  0 564892 587032  92868 4059504   0    0     0    64    0 1286  1  2 97  0
 0  0 564892 587032  92868 4059512   0    0     0    40    0  843  1  1 98  0
 0  0 564892 586908  92868 4059512   0    0     0     0    0  882  1  1 99  0
 0  0 564892 586908  92868 4059512   0    0     0     0    0 1020  1  2 98  0
 0  0 564892 586660  92868 4059512   0    0     0     0    0  782  1  1 99  0
 1  0 564892 586660  92868 4059512   0    0     0     0    0  893  0  1 99  0
 2  0 564892 586412  92876 4059504   0    0     0    56    0 1428  1  1 98  0
 0  0 564892 585968  92876 4059512   0    0     0     0    0  870  1  1 99  0
 3  0 564892 585256  92876 4059512   0    0     0     0    0 2108  2  2 96  0
