procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0 565148 558896  91916 4054776   1    5    53    10    0  191  1  1 97  0
 0  0 565148 558852  91956 4054748   0    0     0   436    0 3299  9  5 86  0
 0  0 565148 558604  91956 4054748   0    0     0     0    0 1904  1  3 96  0
 0  0 565148 558472  91956 4054748   0    0     0     0    0  958  1  1 98  0
 2  0 565148 558224  91956 4054760   0    0     0   408    0 1650  1  2 97  0
 1  0 565148 561580  91956 4054744   0    0     0     0    0 2858  3  4 94  0
 3  0 565148 560416  91972 4054736   0    0     0   156    0 5367  9  4 87  0
 2  0 565148 561580  91972 4054748   0    0     0     0    0 8291  8  5 87  0
 3  0 565148 558136  91972 4054752   0    0     0     8    0 8216  7  6 87  0
 1  0 565148 558024  91980 4054744   0    0     0    96    0 1616  1  3 96  0
 0  0 565148 560000  91980 4054752   0    0     0    76    0  794  1  1 98  0
 0  0 565148 559860  91980 4054752   0    0     0     0    0  991  0  2 98  0
 1  0 565148 587736  91980 4054704   0    0     0     0    0 1949  1  5 94  0
 0  0 565148 587692  91980 4054668   0    0     0     0    0  967  1  2 97  0
 1  0 565148 586404  91980 4054668   0    0     0     0    0 1960  1  2 97  0
