procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 569756 574408  88916 4057408   1    5    54    10    0  188  1  1 97  0
 0  0 569756 574300  88916 4057408   0    0     0     0    0  908  0  1 99  0
 0  0 569756 577292  88916 4057408   0    0     0     0    0 1456  1  2 97  0
 2  0 569756 577384  88916 4057408   0    0     0     0    0  726  0  1 99  0
 0  0 569756 577260  88916 4057408   0    0     0     0    0  694  0  1 99  0
 0  0 569756 577260  88916 4057408   0    0     0     0    0  812  1  1 98  0
 0  0 569756 576888  88916 4057408   0    0     0     0    0 1158  1  3 97  0
 0  0 569756 576888  88916 4057408   0    0     0     0    0  728  0  1 99  0
 0  0 569756 576640  88916 4057408   0    0     0     0    0  904  0  1 98  0
 0  0 569756 576640  88916 4057408   0    0     0     0    0  748  0  1 99  0
 1  0 569756 576392  88916 4057408   0    0     0     0    0 2574  2  2 97  0
 0  0 569756 576268  88916 4057408   0    0     0     0    0 2196  1  2 97  0
 0  0 569756 580112  88916 4057408   0    0     0     0    0 2953  3  3 94  0
 0  0 569756 580112  88916 4057408   0    0     0     0    0  858  0  1 98  0
 2  0 569756 577648  88920 4057368   0    0     0    92    0 5161  2  5 94  0
